image_id,split,experiment,prompt_mode,status,image_path,mask_path,prediction_path,probability_path,threshold,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,latency_ms,coarse_components
water_body_1,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1.png,,0.35,214673,106706,725817,2984867,0.2049979182502607,0.34024609527613403,0.6679745720784495,0.22825654711905496,0.9654848842320721,0.7935243075319012,0.5968707156755635,0.30251966762886234,0.25129046145271994,0.5846032471037661,0.043184310317317516,0.08042748772896478,0.008549187432464215,257.0,90.94242858886719,0.23325280383763844,0.0797058478500956,248.40271099674283,62
water_body_10,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_10.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_10.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_10.png,,0.35,16533,3984,15290,27949,0.4617253609629402,0.6317539166985098,0.8058195642637812,0.5195298997580367,0.8752387811981336,0.6976911976911977,0.6973843404780851,0.4225113310824189,0.39501039359175183,0.8732193732193733,0.3001535312180143,0.4467460896848449,0.05837111863628537,24.78759765625,7.65618371963501,0.49913733609385785,0.3218050065876153,241.43567099963548,6
water_body_100,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_100.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_100.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_100.png,,0.35,183157,17367,2032,118364,0.9042289539682853,0.9497061286500584,0.9133919131874488,0.9890274260350237,0.8720483898298841,0.9395519132494079,0.9305379079324538,0.8786163905197846,0.8742656555677533,0.45120070500110154,0.37673035121839604,0.41061631590731934,0.053800983970798286,66.58194694519032,12.077141761779785,0.5770565873114795,0.6248410818895674,242.17544400016777,7
water_body_1003,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1003.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1003.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1003.png,,0.35,411622,243533,0,0,0.6282818569651456,0.7717114260993628,0.6282818569651456,1.0,0.0,0.6282818569651456,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1213.2246288301271,1213.2246288301271,0.6282818569651456,1.0,242.99997700290987,9
water_body_1004,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1004.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1004.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1004.png,,0.35,76419,17621,2729,66231,0.7897053808554393,0.8824976326304362,0.81262228838792,0.9655202911002173,0.7898559366502886,0.8751533742331289,0.877688113875253,0.764161339199866,0.7514105786863456,0.4672727272727273,0.2958255451713396,0.3622894043421785,0.05317173296842928,75.15349121093746,19.903335571289062,0.48557055214723926,0.5769325153374233,241.64291499982937,2
water_body_101,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_101.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_101.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_101.png,,0.35,12082,3155,69,822,0.7893636482425193,0.8822842120636776,0.7929382424361751,0.9943214550242778,0.2066884586371637,0.8000992063492064,0.6005049568307208,0.37923874190365986,0.27200091733755405,0.6809045226130653,0.17023213472917614,0.27236949420817774,0.03057982525814138,42.78759765625,15.460073471069336,0.7534102182539683,0.9447544642857143,241.15367099875584,2
water_body_1010,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1010.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1010.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1010.png,,0.35,91517,44843,0,0,0.6711425638017013,0.8032140145780399,0.6711425638017013,1.0,0.0,0.6711425638017013,0.5,0.0,0.0,0.0,0.0,0.0,0.0,561.755284799351,561.755284799351,0.6711425638017013,1.0,241.56781599958776,2
water_body_1011,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1011.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1011.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1011.png,,0.35,39123,12268,2961,64208,0.7198079187518398,0.8370794330034769,0.7612811581794477,0.9296407185628742,0.8395836602332758,0.8715502699055331,0.884612189398075,0.7427559720267162,0.7327849536387884,0.4184086311530681,0.31400590704181564,0.35876617649658066,0.051695199731453506,83.09613037109378,17.45551300048828,0.3549595141700405,0.4334598515519568,241.41063000206486,7
water_body_1014,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1014.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1014.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1014.png,,0.35,39588,10154,631,7902,0.785897206836996,0.8801147163770967,0.7958666720276627,0.9843108978343569,0.4376384581302614,0.8149292149292149,0.7109746779823092,0.5519175969890903,0.4936916583503397,0.4281709880868956,0.28506375227686703,0.34226046930325743,0.06185335132703554,69.393798828125,15.600415229797363,0.6901587301587302,0.8535735735735736,241.57456400280353,3
water_body_1019,train,experiment_D_auto_sam,segformer_auto_prompt,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1019.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1019.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_D_auto_sam/water_body_1019.png,,0.35,23334,8470,426,2420,0.7239838659633882,0.839896335756965,0.7336812979499434,0.9820707070707071,0.2222222222222222,0.7432611832611833,0.6021464646464647,0.3454078261431177,0.2553832614289677,0.6984848484848485,0.1396555301929861,0.23277072511599975,0.03611951588502269,74.76388206481933,24.5838623046875,0.6857142857142857,0.9178643578643578,241.61555799946655,1
